,trade_id,currency,entry_date,exit_date,days_held,ois_cc_entry,spread_cc_annual,funding_cc,swap5_cc_entry,fx_local_entry,fx_gbp_entry,fx_local_exit,fx_gbp_exit,borrowed_usd,equity_usd,borrowed_gbp,interest_gbp,repay_gbp,repay_usd,bond_entry_price_local,n_bonds,bond_exit_price_local,bond_accrued_local,bond_proceeds_local,bond_proceeds_usd,bond_pnl_usd,borrow_cost_usd,total_pnl_usd
65,66,RepTurkey,2011-04-06,2011-04-12,6,0.0051270000000000005,0.005,0.010127,0.0779686329555696,1.519826,0.612966,1.517527,0.614686,8000000.0,2000000.0,4903728.0,816.3975973243362,4904544.397597324,7978942.740842193,100.0,151982.59999999998,126.24491604345152,0.13329657136349904,19207289.33655238,12656967.115940858,2656967.1159408577,-21057.259157806635,2678024.3750986643
66,67,RepTurkey,2011-04-13,2011-04-19,6,0.0051400000000000005,0.005,0.01014,0.08022000125829652,1.51438,0.61427,1.533017,0.61331,8000000.0,2000000.0,4914160.0,819.184693989355,4914979.184693989,8013857.893551367,100.0,151438.0,127.0743932672818,0.13730205766144607,19264684.716618758,12566517.342350904,2566517.342350904,13857.893551367335,2552659.4487995366
67,68,RepTurkey,2011-04-20,2011-04-26,6,0.005233,0.005,0.010232999999999999,0.08021790923848132,1.519262,0.610126,1.524526,0.607004,8000000.0,2000000.0,4881008.0,821.121468726423,4881829.121468727,8042499.096330051,100.0,151926.19999999998,127.25551203828059,0.13729833149003556,19354305.58679984,12695293.872849556,2695293.8728495557,42499.09633005131,2652794.7765195044
68,69,RepTurkey,2011-04-27,2011-05-03,6,0.005365,0.005,0.010365,0.0805987860883819,1.523445,0.603388,1.532052,0.606387,8000000.0,2000000.0,4827104.0,822.5292426858858,4827926.529242686,7961790.950733914,100.0,152344.5,128.21993658330936,0.13797685338581223,19554622.14355661,12763680.438755741,2763680.4387557413,-38209.04926608596,2801889.4880218273
69,70,RepTurkey,2011-05-04,2011-05-10,6,0.005365,0.005,0.010365,0.07882247145791206,1.53962,0.605353,1.561801,0.61158,8000000.0,2000000.0,4842824.0,825.207900468072,4843649.207900468,7919894.7118945485,100.0,153962.0,127.28078264557132,0.13481460323400046,19617160.183620565,12560601.628261581,2560601.628261581,-80105.2881054515,2640706.9163670326
70,71,RepTurkey,2011-05-11,2011-05-17,6,0.005155999999999999,0.005,0.010155999999999998,0.08091429426718541,1.579508,0.609182,1.587579,0.616046,8000000.0,2000000.0,4873456.0,813.6813845769562,4874269.681384577,7912184.611838365,100.0,157950.8,127.92759682229354,0.13853911848809092,20228148.62475521,12741506.800452268,2741506.8004522678,-87815.38816163503,2829322.188613903
71,72,RepTurkey,2011-05-18,2011-05-24,6,0.005143999999999999,0.005,0.010144,0.08272595124400005,1.581805,0.618955,1.600132,0.618426,8000000.0,2000000.0,4951640.0,825.7582074946948,4952465.758207494,8008178.437205897,100.0,158180.49999999997,128.56449596401322,0.1417710968460155,20358821.67682024,12723213.882867314,2723213.882867314,8178.437205896713,2715035.445661417
72,73,RepTurkey,2011-05-25,2011-05-31,6,0.005129,0.005,0.010128999999999999,0.08672020596476465,1.606324,0.615082,1.59602,0.607368,8000000.0,2000000.0,4920656.0,819.3776588548868,4921475.377658855,8102954.679302919,100.0,160632.4,130.76757407549485,0.14891752772139155,21029430.24580447,13176169.625571402,3176169.625571402,102954.67930291872,3073214.946268483
73,74,RepTurkey,2011-06-01,2011-06-07,6,0.005274999999999999,0.005,0.010275,0.08681183324062638,1.587379,0.610343,1.581925,0.608524,8000000.0,2000000.0,4882744.0,824.7851805139479,4883568.785180514,8025268.987222384,100.0,158737.90000000002,131.27003508471495,0.14908180033409435,20861194.63418723,13187221.03398532,3187221.0339853205,25268.98722238373,3161952.0467629367
74,75,RepTurkey,2011-06-08,2011-06-14,6,0.0052239999999999995,0.005,0.010224,0.09354264522535445,1.585781,0.610543,1.581368,0.610271,8000000.0,2000000.0,4884344.0,820.9599400377261,4885164.959940038,8004910.867368821,100.0,158578.1,134.1454082785967,0.1611902946564893,21298085.2192092,13468139.749387367,3468139.7493873667,4910.867368821055,3463228.8820185456
