date,SONIA,5Y
2001-10-19,4.1135,4.8151
2001-10-22,4.2741,4.7944
2001-10-23,4.8113,4.8058
2001-10-24,4.289,4.726
2001-10-25,3.9413,4.6618
2001-10-26,4.0232,4.6861
2001-10-29,4.4422,4.6417
2001-10-30,4.1483,4.5532
2001-10-31,3.8263,4.5442
2001-11-01,3.7886,4.4839
2001-11-02,3.8964,4.5256
2001-11-05,3.9327,4.4518
2001-11-06,3.6927,4.4505
2001-11-07,3.7164,4.3838
2001-11-08,3.4725,4.3834
2001-11-09,3.3108,4.3629
2001-11-12,3.519,4.3436
2001-11-13,3.4853,4.4532
2001-11-14,3.3422,4.5663
2001-11-15,3.3498,4.6879
2001-11-16,4.2019,4.6931
2001-11-19,4.4105,4.6636
2001-11-20,3.7482,4.638
2001-11-21,3.3236,4.7178
2001-11-22,3.2617,4.7238
2001-11-23,3.2477,4.7044
2001-11-26,3.24,4.677
2001-11-27,3.2452,4.8278
2001-11-28,3.2535,4.756
2001-11-29,3.425,4.7339
2001-11-30,3.8098,4.6854
2001-12-03,4.5598,4.6302
2001-12-04,4.4775,4.6188
2001-12-05,4.402,4.7742
2001-12-06,4.622,4.8809
2001-12-07,3.9381,4.9995
2001-12-10,3.8256,4.9586
2001-12-11,3.8211,4.9186
2001-12-12,4.0402,4.8184
2001-12-13,4.5631,4.863
2001-12-14,4.3541,4.9046
2001-12-17,4.6301,4.9455
2001-12-18,4.8693,4.9401
2001-12-19,5.0538,4.9047
2001-12-20,5.116,4.9169
2001-12-21,5.1081,4.962
2001-12-24,5.0272,4.9231
2001-12-27,4.9554,5.0562
2001-12-28,4.7891,5.0918
2001-12-31,4.9451,5.1196
2002-01-02,3.8886,5.0478
2002-01-03,3.4382,4.9658
2002-01-04,3.3647,5.0297
2002-01-07,3.7123,4.9783
2002-01-08,3.8936,4.9719
2002-01-09,3.9219,5.0438
2002-01-10,3.5444,4.9881
2002-01-11,3.3093,5.0022
2002-01-14,3.6768,4.9233
2002-01-15,4.0997,4.9307
2002-01-16,3.8075,4.8867
2002-01-17,4.4086,4.8719
2002-01-18,4.0987,4.8798
2002-01-21,4.1707,4.8175
2002-01-22,4.4332,4.871
2002-01-23,3.8148,4.8227
2002-01-24,3.2657,4.9056
2002-01-25,3.2383,5.0242
2002-01-28,3.3565,5.0176
2002-01-29,3.2911,4.9938
2002-01-30,3.9811,4.9632
2002-01-31,4.1909,4.9501
2002-02-01,4.2853,4.9392
2002-02-04,3.7573,4.8828
2002-02-05,4.4308,4.8465
2002-02-06,4.5028,4.8571
2002-02-07,3.462,4.9802
2002-02-08,3.343,4.9542
2002-02-11,4.8021,4.9544
2002-02-12,4.5896,5.0771
2002-02-13,3.4342,5.0603
2002-02-14,3.2407,5.0256
2002-02-15,3.2525,4.9632
2002-02-18,3.524,4.9666
2002-02-19,4.4487,4.9577
2002-02-20,3.7428,4.9563
2002-02-21,4.2985,4.969
2002-02-22,4.5535,4.9293
2002-02-25,4.8498,4.9569
2002-02-26,4.7941,4.9841
2002-02-27,3.8203,4.9877
2002-02-28,4.0151,4.9842
2002-03-01,4.0288,5.0486
2002-03-04,4.8667,5.0775
2002-03-05,4.8627,5.1353
2002-03-06,3.8875,5.1562
2002-03-07,3.4683,5.2387
2002-03-08,3.6363,5.2438
2002-03-11,4.301,5.2244
2002-03-12,3.6926,5.2224
2002-03-13,3.6212,5.248
2002-03-14,3.4308,5.2718
2002-03-15,4.0114,5.2807
2002-03-18,3.9175,5.262
2002-03-19,4.1204,5.2619
2002-03-20,4.3894,5.2891
2002-03-21,4.3286,5.3412
2002-03-22,4.6453,5.3561
2002-03-25,4.9108,5.3837
2002-03-26,4.1104,5.3557
2002-03-27,3.3604,5.2983
2002-03-28,3.2728,5.3544
2002-04-02,3.4549,5.3571
2002-04-03,3.6757,5.2971
2002-04-04,4.3766,5.2479
2002-04-05,3.348,5.2461
2002-04-08,3.3176,5.2479
2002-04-09,4.5336,5.2643
2002-04-10,3.2732,5.2742
2002-04-11,3.2225,5.2171
2002-04-12,3.2134,5.2015
2002-04-15,3.3999,5.1762
2002-04-16,3.4473,5.2627
2002-04-17,3.5122,5.2636
2002-04-18,3.3866,5.2779
2002-04-19,3.3816,5.2819
2002-04-22,3.6764,5.2364
2002-04-23,3.5653,5.2729
2002-04-24,3.5067,5.2428
2002-04-25,4.5266,5.1835
2002-04-26,4.3084,5.1425
2002-04-29,4.7897,5.1956
2002-04-30,4.8749,5.1938
2002-05-01,3.4444,5.165
2002-05-02,3.4509,5.2358
2002-05-03,3.4156,5.1871
2002-05-07,3.3905,5.1717
2002-05-08,3.3663,5.2098
2002-05-09,3.735,5.2523
2002-05-10,3.5691,5.2651
2002-05-13,3.5213,5.2599
2002-05-14,3.9569,5.302
2002-05-15,3.5001,5.3242
2002-05-16,3.9325,5.3127
2002-05-17,4.2572,5.348
2002-05-20,4.4654,5.2855
2002-05-21,3.4925,5.2712
2002-05-22,3.4169,5.2513
2002-05-23,3.3937,5.2571
2002-05-24,4.3432,5.245
2002-05-27,4.9043,5.2858
2002-05-28,4.9337,5.2517
2002-05-29,4.9213,5.2471
2002-05-30,4.9915,5.2414
2002-05-31,3.998,5.2618
2002-06-05,4.0829,5.2227
2002-06-06,4.2296,5.2024
2002-06-07,3.3263,5.1953
2002-06-10,3.2978,5.1872
2002-06-11,3.2358,5.2128
2002-06-12,3.2326,5.1954
2002-06-13,3.2545,5.0982
2002-06-14,3.2115,5.0432
2002-06-17,3.2792,5.0626
2002-06-18,3.5762,5.0418
2002-06-19,3.9254,5.0207
2002-06-20,4.298,5.0489
2002-06-21,3.3933,5.0603
2002-06-24,3.5531,5.0055
2002-06-25,3.2795,5.0956
2002-06-26,3.2611,5.004
2002-06-27,3.258,5.0177
2002-06-28,3.3156,5.0587
2002-07-01,3.9204,5.0544
2002-07-02,4.4537,5.0393
2002-07-03,4.6937,5.0315
2002-07-04,4.0309,5.0574
2002-07-05,3.2672,5.1284
2002-07-08,4.6384,5.1296
2002-07-09,3.9004,5.1219
2002-07-10,3.2653,5.0628
2002-07-11,3.2522,4.9867
2002-07-12,3.2605,4.9575
2002-07-15,3.7929,4.9126
2002-07-16,4.2852,4.8729
2002-07-17,3.3716,4.9342
2002-07-18,3.3199,4.9338
2002-07-19,3.7599,4.8819
2002-07-22,3.8084,4.8362
2002-07-23,3.5574,4.8545
2002-07-24,3.5266,4.7553
2002-07-25,3.5338,4.7939
2002-07-26,3.3886,4.7806
2002-07-29,4.36,4.8357
2002-07-30,4.6029,4.8238
2002-07-31,4.8134,4.7461
2002-08-01,4.7639,4.6639
2002-08-02,4.7881,4.6164
2002-08-05,4.7249,4.5189
2002-08-06,4.609,4.5775
2002-08-07,3.9336,4.5117
2002-08-08,3.8982,4.5569
2002-08-09,4.4506,4.5483
2002-08-12,3.7733,4.5319
2002-08-13,3.3736,4.5249
2002-08-14,3.5045,4.4605
2002-08-15,3.6334,4.6134
2002-08-16,3.3951,4.6399
2002-08-19,4.6734,4.6512
2002-08-20,4.0151,4.6052
2002-08-21,4.5851,4.6647
2002-08-22,4.5485,4.6966
2002-08-23,3.7797,4.6547
2002-08-27,4.1133,4.6408
2002-08-28,3.835,4.5554
2002-08-29,4.1634,4.5079
2002-08-30,4.3178,4.5225
